target,tfidf_accuracy,tfidf_f1_macro,tfidf_mae,tfidf_qwk,tfidf_n,embedding_accuracy,embedding_f1_macro,embedding_mae,embedding_qwk,embedding_n,llm_claude-haiku_accuracy,llm_claude-haiku_f1_macro,llm_claude-haiku_mae,llm_claude-haiku_qwk,llm_claude-haiku_n,llm_claude_accuracy,llm_claude_f1_macro,llm_claude_mae,llm_claude_qwk,llm_claude_n,llm_gpt4o_accuracy,llm_gpt4o_f1_macro,llm_gpt4o_mae,llm_gpt4o_qwk,llm_gpt4o_n,llm_llama-3.3-70b_accuracy,llm_llama-3.3-70b_f1_macro,llm_llama-3.3-70b_mae,llm_llama-3.3-70b_qwk,llm_llama-3.3-70b_n,llm_llama-4-scout_accuracy,llm_llama-4-scout_f1_macro,llm_llama-4-scout_mae,llm_llama-4-scout_qwk,llm_llama-4-scout_n
what_score,0.9137931034482759,0.8977072310405643,0.08620689655172414,0.7960618846694796,58,0.9482758620689655,0.6366666666666666,0.06896551724137931,0.7926102502979738,58,0.9827586206896551,0.980157372562436,0.017241379310344827,0.960328317373461,58.0,0.9827586206896551,0.980157372562436,0.017241379310344827,0.960328317373461,58.0,0.896551724137931,0.5999472573839663,0.10344827586206896,0.8375350140056023,58.0,0.9827586206896551,0.980157372562436,0.017241379310344827,0.960328317373461,58.0,0.9482758620689655,0.9386243386243386,0.05172413793103448,0.8776371308016877,58.0
why_score,0.896551724137931,0.8836102965135223,0.1206896551724138,0.8872570194384449,58,0.8620689655172413,0.8318059299191374,0.13793103448275862,0.9061488673139159,58,0.9310344827586207,0.9189632170764247,0.06896551724137931,0.9515455304928989,58.0,0.8620689655172413,0.8363858363858364,0.13793103448275862,0.9069020866773676,58.0,0.9482758620689655,0.940619293974437,0.05172413793103448,0.9630573248407643,58.0,0.8620689655172413,0.8272604588394062,0.13793103448275862,0.909727626459144,58.0,0.9655172413793104,0.9583333333333334,0.034482758620689655,0.9751712328767124,58.0
how_score,0.9137931034482759,0.8825995807127883,0.08620689655172414,0.9467889908256881,58,0.9137931034482759,0.8895495272306867,0.08620689655172414,0.9452210049112203,58,0.896551724137931,0.8692332683560754,0.10344827586206896,0.9334098737083811,58.0,0.9137931034482759,0.8966479379276077,0.08620689655172414,0.9429358520267611,58.0,0.8620689655172413,0.8198906356801094,0.13793103448275862,0.912814731304021,58.0,0.8448275862068966,0.7928153717627401,0.15517241379310345,0.9027932960893855,58.0,0.9137931034482759,0.8919563058589871,0.08620689655172414,0.943993820007725,58.0
total_score,0.7931034482758621,0.6066378066378066,0.3620689655172414,0.8755638684123666,58,0.7413793103448276,0.48336235922442816,0.3448275862068966,0.9185569237416289,58,,,,,,,,,,,,,,,,,,,,,,,,,
